Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
F6TWX0,0.0262,0.0995,0.0001,109212.72254569583,109605.78568247058,105587.37760627273,108761.99759562137,111244.46462382417,115400.02758544878,99655.42174930542,115400.02758544878,98724.95369394838,125056.69065617748,111244.46462382417
E9QP87,-0.0178,0.0882,0.0001,349186.43739781604,397636.5652843366,380793.2356722415,401563.2289584047,359255.9699408463,392553.94548285473,342945.17609558115,372619.79702688183,354937.4881581183,411143.36732220656,365004.4372566085
Q3URU2,0.0685,0.2196,0.0001,329282.47138407873,330497.8160367912,346693.5315301498,258734.77187021374,315108.1755738544,365847.1509149296,281729.47225963016,289180.0349768326,260956.96188302114,307528.05998641485,484238.82242345816
E9Q9B7,0.0338,0.1336,0.0001,188704.18643901398,189182.26954072397,199752.6473924704,191342.15576891485,184080.36125620984,181458.82170916398,247812.2598538235,185528.10216136285,190088.3160172468,172297.77811822222,194094.18599781927
Q8BTY1,0.0096,0.0758,0.0001,5592159.561130586,5463657.87943604,5994538.69731401,5766814.2394744,6051471.882226244,6114883.892658279,5740071.6569675505,5902783.250572515,5850700.534704538,5598934.908592685,5673588.39365314
Q9CW03,-0.0132,0.0716,0.0001,560859.303531337,545127.0970719417,584713.30489518,558355.0726050326,573746.5187423502,551796.5367022443,600450.3834934116,600450.3834934116,565616.2142119162,504077.99798007065,535284.6397224637
Q9Z127,-0.0142,0.089,0.0001,3503548.2690616,3123774.709671661,3215857.2211986515,3423900.6446201853,3167113.2315539466,3108475.3705981327,3696506.3454127545,3209913.8796371804,3311169.088297232,3170316.8049536413,3039195.0591207086
P56528,0.013,0.0693,0.0001,395687.60875298135,376419.5787601841,402887.97371076874,364450.03093721846,385164.0931407849,384713.0007739388,386322.32860132726,408475.97900122375,379848.94851705077,403220.0654607611,368521.74562107277
Q63829,-0.0163,0.0873,0.0001,876384.4169160513,878431.7937353534,777680.8016034428,862392.4699384485,906335.1674016397,899493.695617424,826297.9538355712,788941.1483152757,770768.7086705014,913496.3326887108,906335.1674016397
P97401,0.0265,0.0912,0.0001,105924.07648102497,93574.68942537923,91438.03298225014,112612.61498298933,112083.32745311264,117392.14538695004,90934.65743532103,112083.32745311264,97119.24322128376,112083.32745311264,100760.56698586773
P37804,0.008,0.0708,0.0001,10871636.443700042,10313562.36200582,10616122.22913052,10672176.67061125,9986239.863345668,10439564.010931337,10566520.064302586,10299610.46947355,10453898.405419776,10500449.579446958,11067528.701133607
Q03137,-0.0124,0.0991,0.0001,8461077.210438237,8738346.367110515,7983137.137074105,8888159.98435671,8066442.127743184,8191048.924205071,8863208.579845954,8208336.495227611,8368580.638287359,8614854.779385421,7907168.5904738
P19324,-0.0141,0.0823,0.0001,874640.7492471546,797266.6228900877,892045.764472235,824305.7332055421,851167.848708272,852716.0891053651,788941.1483152757,871109.7335545948,829166.2715701559,790538.3035472621,907130.0829742826
P58252,-0.0095,0.0864,0.0001,270222040.1111258,268286953.30344197,270222040.1111258,264457511.80620706,268286953.30344197,257524869.69538015,290496655.31789505,268286953.30344197,270222040.1111258,245012536.1588869,268286953.30344197
Q6A051,-0.0168,0.0932,0.0001,683299.3189016074,695888.3225915172,665709.9315440371,770057.9197277238,661323.1703737767,669843.2621024472,751131.5598008289,663930.1181224709,698991.5690406931,710077.4752940539,630981.1940202196
