Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
MYO1G,0.9999,1.049,1.118,0.2737,0.2917,0.143,0.1986,0.1626,0.12,0.0
NAPA,0.9999,1.1951,1.2899,0.8875,0.4951,0.2918,0.23,0.1773,0.1185,0.0
NCAM1,0.9999,1.1504,1.1324,0.8438,0.7519,0.6193,0.5123,0.4671,0.3244,0.0
NCKAP1L,0.9999,1.0296,0.9707,0.7855,0.7414,0.6229,0.3737,0.1497,0.1514,0.0
NCSTN,0.9999,1.1604,1.1634,0.9557,0.888,0.7806,0.8859,0.6412,0.7536,0.0
NDRG1,0.9999,1.0082,0.9969,1.2583,1.1689,0.8168,0.6344,0.4445,0.2476,0.0
NENF,0.9999,1.0716,1.0179,1.0368,0.9157,0.7424,0.8419,0.7618,0.4119,0.0
NEO1,0.9999,1.0549,1.0294,0.7847,0.7488,0.5608,0.4014,0.279,0.1783,0.0
NLN,0.9999,1.381,1.3139,1.0272,0.7211,0.5103,0.3332,0.1177,0.077,0.0
NOTCH2,0.9999,0.8284,0.5298,0.3528,0.2904,0.233,0.2767,0.2707,0.2656,0.0
NOV,0.9999,1.2517,1.3705,0.9677,0.9455,0.7702,0.8691,0.9659,1.3638,0.0
NPC1,0.9999,1.3086,1.2776,1.0511,0.7755,0.4526,0.4389,0.3152,0.2541,0.0
NPC2,0.9999,1.2724,1.2659,1.2475,1.1742,1.1483,1.5171,1.8114,3.567,0.0
NPTN,0.9999,1.0705,1.0047,0.9553,0.9141,0.7716,0.4167,0.373,0.4745,0.0
NRAS,0.9999,1.1987,1.5379,0.9859,1.3221,1.4987,1.459,1.4709,0.9499,0.0
NRP1,0.9999,1.2293,1.1737,0.7861,0.8152,0.5532,0.4874,0.3878,0.2571,0.0
NRP2,0.9999,1.1516,1.3261,0.8504,0.6558,0.5888,0.511,0.292,0.4136,0.0
NSF,0.9999,1.4239,1.2356,0.3673,0.2084,0.1025,0.0815,0.0685,0.0672,0.0
NUCB2,0.9999,1.0931,1.1498,1.0556,0.9128,0.7601,0.9444,1.2927,1.1822,0.0
ORAI1,0.9999,0.9597,0.9905,0.7426,0.7336,0.6672,0.7104,0.625,0.3075,0.0
P2RX4,0.9999,1.2785,1.4436,1.2785,1.2157,0.9807,1.4434,1.8516,3.0717,0.0
P4HB,0.9999,1.0857,1.1409,1.0276,0.9578,0.8509,0.9923,0.8147,0.5365,0.0
PAK2,0.9999,1.3833,1.1147,1.3672,0.7418,0.4718,0.3559,0.0641,0.0357,0.0
PANX1,0.9999,0.9972,1.0556,0.8282,0.6813,0.6159,0.6866,0.6495,0.3121,0.0
PC,0.9999,1.0228,0.9642,0.4613,0.0592,0.0426,0.037,0.0485,0.0524,0.0
PCYOX1,0.9999,1.0942,1.1509,1.0371,0.9089,0.6454,0.5367,0.239,0.1196,0.0
PCYOX1L,0.9999,1.1044,1.1687,1.0658,0.9206,0.6328,0.4831,0.2041,0.09,0.0
PDIA3,0.9999,1.1027,1.2744,0.9466,0.7034,0.5116,0.4733,0.2987,0.2042,0.0
PDIA4,0.9999,1.081,1.0366,0.7665,0.6953,0.6037,0.6193,0.4201,0.3062,0.0
PDIA6,0.9999,1.0891,1.1759,0.9823,0.9293,0.8222,0.8173,0.4833,0.3087,0.0
PDS5A,0.9999,1.2469,0.7565,0.1468,0.1433,0.0688,0.0834,0.3415,0.197,0.0
PHB,0.9999,1.446,1.4525,0.9262,1.1508,1.0243,1.207,0.7015,0.8583,0.0
PHB2,0.9999,1.4144,1.3844,0.8682,1.0612,0.7382,0.7557,0.501,0.6657,0.0
PKM2,0.9999,1.4077,1.7355,1.1604,1.1825,0.9055,1.1874,0.1528,0.1348,0.0
PLAU,0.9999,1.0606,1.0454,0.7387,0.6657,0.5558,0.5236,0.4457,0.3438,0.0
PLAUR,0.9999,1.045,1.0151,0.8661,0.7858,0.6713,0.8313,0.8382,0.741,0.0
PLP2,0.9999,1.1372,1.1817,1.0724,1.013,0.9997,1.5169,1.5491,1.4629,0.0
PLXNA1,0.9999,1.1398,1.0556,0.7272,0.4147,0.1826,0.1231,0.0843,0.0832,0.0
PLXNC1,0.9999,1.0212,0.9693,0.741,0.3878,0.1707,0.1999,0.204,0.1883,0.0
PNN,0.9999,1.1224,1.2571,1.0841,0.8239,0.6131,0.5187,0.4529,0.3725,0.0
PODXL,0.9999,0.8799,1.1022,1.0673,0.8963,0.821,0.8748,0.6669,0.7329,0.0
PODXL2,0.9999,1.1556,0.9559,0.9856,0.7838,0.6713,0.585,0.4626,0.4778,0.0
