,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
341,PODXL2,0.0,,,0.857,0.835,68.99,68.99,-0.018,,,0.421,0.629,68.99,68.99,-0.056
340,PLXND1,0.0,0.304,0.14,0.999,0.997,47.81,47.95,-0.187,0.33,0.12,0.999,0.997,47.87,47.99,-0.159
339,PLXNB2,0.0,0.364,-0.06,0.993,0.989,50.9,50.84,-0.148,0.342,0.17,0.993,0.987,50.6,50.77,-0.154
338,PLXNB1,0.0,0.322,0.08,0.992,0.994,52.2,52.28,-0.096,0.55,0.9,0.991,0.992,51.71,52.61,-0.162
337,PLXNA3,0.0,0.379,0.41,0.999,0.999,48.93,49.34,-0.145,0.36,-0.26,0.996,0.999,50.57,50.31,-0.097
336,PLXNA1,0.0,0.565,-0.6,0.992,0.993,52.27,51.67,-0.096,0.727,-1.4,0.995,0.998,52.27,50.87,-0.094
335,PLXDC2,0.0,5.486,5.8,0.951,0.962,54.44,60.24,-0.037,,,0.0,0.67,62.4,57.75,-0.701
364,RAB21,0.0,,,0.0,0.0,68.99,68.99,-0.777,,,0.059,0.036,68.99,68.99,-0.636
365,RAB35,0.0,,,0.208,0.169,65.94,66.08,-0.635,,,0.064,0.079,66.27,66.19,-0.604
366,RAB3GAP2,0.0,0.377,-0.1,0.992,0.995,48.01,47.91,-0.152,0.355,-0.24,0.996,0.994,47.71,47.47,-0.167
383,RHOG,0.0,0.328,0.06,0.959,0.963,62.51,62.57,-0.806,,,0.857,0.664,62.45,62.22,-0.839
397,SCARB1,0.0,,,0.526,0.559,68.99,68.99,-0.012,,,0.016,0.137,68.99,68.99,-0.264
396,SCAMP3,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
395,SARS,0.0,0.323,0.23,0.977,0.998,55.46,55.69,-0.154,0.473,-0.67,0.965,0.986,55.14,54.47,-0.106
394,SAPS3,0.0,0.425,-0.24,0.978,0.983,57.83,57.59,-0.234,1.115,-2.25,0.942,0.98,56.73,54.48,-0.105
393,RTN4RL2,0.0,0.407,-0.19,0.896,0.916,56.07,55.88,-0.044,0.347,0.19,0.91,0.884,60.14,60.33,-0.041
392,RTN4,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
391,RPSA,0.0,0.343,0.01,0.998,0.986,55.22,55.23,-0.085,0.751,-1.46,0.998,0.994,54.59,53.13,-0.078
390,RPS27A,0.0,3.083,-3.77,0.958,0.955,55.63,51.86,-0.053,1.381,-2.73,0.955,0.982,53.12,50.39,-0.072
389,RPL15,0.0,,,0.789,0.587,60.13,61.36,-0.242,,,0.692,0.733,61.13,59.92,-0.801
388,ROR2,0.0,0.381,-0.11,0.997,0.994,50.04,49.93,-0.12,0.343,-0.19,0.993,0.99,49.89,49.7,-0.127
387,RNPEP,0.0,0.369,0.38,0.999,0.999,49.17,49.55,-0.191,0.432,-0.53,0.999,0.999,49.31,48.78,-0.142
386,RNF149,0.0,0.439,-0.28,0.969,0.988,53.59,53.31,-0.086,0.46,0.61,0.973,0.975,52.71,53.32,-0.073
385,RNASET2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
384,RHOT2,0.0,0.366,0.37,0.987,0.997,49.6,49.97,-0.158,0.329,-0.13,0.999,0.997,49.59,49.46,-0.133
382,RHOA,0.0,,,0.0,0.0,68.99,68.99,-0.076,,,0.0,0.0,68.99,68.99,-0.185
367,RAB5A,0.0,,,0.0,0.0,68.99,68.99,-0.76,,,0.0,0.0,68.99,68.99,-0.788
381,RHAG,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
